questions,answers
asked present status pm kisan,--informed him that his bank accountr details are incorrect. therefore told him to visit common service centre and district agriculture office
query regarding low production tea,spraying of npk 19:19:19 @ 1.5 grams in 1 litre for two times at 10 days interval along with 12% edta zinc @ 1 grams in 2 litres /33% zinc sulphate monohydrate @ 2 grams in 1 litres for two times at 15 days interval
query regarding control anthracnose betelvine,spray blitox /blue copper 50 @ 2grams in 1 litre for three times at an interval of 5 days
hispa infestation rice field,"spray flubendiamide 1ml/ liter, 3 times in the evening time  at 3 days interval"
hispa infestation rice field,"--spray flubendiamide 1ml/l in the evening time , 3 times at 3 days interval"
query regarding cattle farming," cultivate para, napier grass, start farming."
query regarding variety cauliflower,"varieties:
early: early kunwari, pusa katki and pusa deepali. 
mid: improved japanese, pusa synthetic, pusa snowball and main crop patna.
 late: snowball-16, pusa snowball, k-1 and hissar 1.
"
query regarding dwarf variety papaya,"varieties : red lady,pusa dwarf,pusa majesty, co.1"
query regarding piggery,--
asking delay pm kisan installment,after checking the beneficiary status on pm kisan portal contact the district agriculture office for further enquiry as the approval/rejection are done by the department.
query blast disease paddy,spray bavistin @ 1 gram per litre of water to control the blast disease. spray before 11:00 am or after 3:00 pm.
query regarding control red spider mite tea,spray borneo @ 140 ml/200 litres and alternatively go for acaricide like magister/propargite
query regarding urea availability,spray npk 19:19:19 @ 10 g/l of water for two times at an interval of 15 days
asking rice disease,vist krishi vigyan kendra (kvk) of your district for further knowledge.
asking pm kisan samman nidhi kisan credi card,"-- for pm kisan samman nidhi- please wait till your verification process is being completed. for kisan kredit card- please download the kisan kredit card form from the pm kisan official website and fill up the form and submit it to the bank manager of any one of the following bank- sbi, panjab national bank, hdfc bank, gramin vikash bank along with photo copy of your pass book, adhar card, pan card etc."
query regarding banana variety g 9 procurement,"visit your respective kvk ,sivsagar and further contact department of biotechnology,assam agricultural university  as it is a tissue culture plantlets for its procurement"
asking control case worm paddy,"spray tricel 20 or classic 20 @ 2ml/l water, two spray at 5 days interval.
"
asking micro nutrient application,spray multiplex mahaphal @ 2ml/l water twice at 10 days interval.
asking sowing timeseed treatment fertilizer dos,"sowing time: last week of september to  mid-october.
seed treatment: captaf/carboxin @ 2-3 gram/ 1 kg of seed.
fertilizer dose: urea @ 15kg/bigha, ssp @ 50 kg/bigha, mop @ 7 kg/bigha."
asking veterinary expert,--phone is forwarded to veterinary expert
query regarding ulcer leg,"give quinintus 15 ml-3 ml i/m ly and dexona 1 ml as directed, serratopeptidase tab twice in daily, regular dressing with tincture iodine and h2o2 as directed, topicure for tropical application."
asking fungal wilt ber,"apply blitox or  saaf fungicides @  2mgm / l of water , 3 spray at 5 days interval.
apply mahaphal @ 2ml/ l of water , 2 spray at 15 days interval."
asking manure fertilizer banana plant,"manure and fertilizer: fym- 12 kg/plant, urea @ 32 gm/plant, ssp- 28 gm/plant, mop- 74 gm/plant.
full dose of fym should be applied at the time of planting.the whole of ssp and half of  urea and half of mop should be applied in 3rd month of planting.
the remaining urea and mop should be applied in 5th month of planting."
query pest problem,apply malathion 5% dust  to the plant.
asking control pest problem,"spray anyone of the following insecticides:
1. fipronil 80 wg @ 7g - 9g/bigha.
2. chlorphyriphos 20 ec @ 2.5 ml/lit of water.
spray 3 times at 5 days interval."
asking age arecanut seedling transfering main field amount fertilizer dose apply per plant,"transplant the seedlings in the main field at the age of 12-18 months. dig a pit at a depth of 90 cm apply 5kg of manure in the pit. again 100gm of urea, 125 gram of phosphorus, 115 gram of potash and 25 gram of borax per plant in a ring method,1 miter away from the plant. 

in coconut plant fertilizer dose:  urea 1200 gram, phosphorus 2 kg, potash 2 kg and borax 50 gram per plant in a ring method 1.5 to 1.8 meter away from the plant. make two part of these fertilizer. apply one part in the month of june- july and other part in the month of december-january."
query disease paddy field,"spray saaf/benomyl @ 2 g/lit of water, 3 times at 5 days interval."
asking control measure caseworm paddy,"spray tricel @ 2 ml per lit of water, 3 sprays at 4 days interval"
query regarding agriculture,--  no. given to agriculture expert.
query regarding mulching radish,"film mulching increased the root length, root diameter, and root weight compared to those in bare soil. the high soil heat accumulation mediated by film mulches is beneficial for vegetative growth, yield and delaying bolting in radish"
asking taking plant protection measure nursery bed,"apply malathion 5 % dust @ 20-30 gm per bed.
soil drenching with captan or fytolan @2ml/l water against damping off"
query regarding goat showing sign inappitance sticky faeces approximately 335 month gestation," give afanil as directed , inject  enrocin 15 ml & prednisolone 10 ml as directed , [hormonal preparation like progesterone & oxytocin may require"
asking insect pest rice,"reply to spray tricel 2ml/1l, 3 days interval and flubendiamide 1ml/l"
query regarding poultry," reply: after collecting the chicks, follow proper vaccination and medicine schedule."
query regarding pm kisan samman nidhi,your six number installment has not approved by the state govt. yet. please link/update your adhar number with your pm kisan account and wait untill your varification process is completed. 
query regarding disease local poultry,"--treatment: 1. tetracyclin 100 gm @ 3gm daily, orally with feed for 5 days. 2. r2b vaccine 1 ph @ half ml i/m ly to each. after 7days of r2b, 3. ibd vaccine."
regarding sowing method chilli,"--chillies                                               45 x 30cms. 
chilli: pusa jwala, pusa sadabahar , pant c-1,ch-1,pb-lal,pb surkh"
query regarding rainfall data amguri block sivasagar district,"date	                          01-10-2020	  02-10-2020	03-10-2020	04-10-2020	05-10-2020	total / average
rainfall (mm)	                         7.6	                0.7	             0.0	             7.6	             8.1	            24"
asking pm kisan installment,please visit the district agriculture office as your registration is either rejected due to wrong information or not registered in the portal. this is as per pm kisan beneficiary status.
query regarding getting fruit arecanut plant,"please use recommended doses of fertilizer- urea 220 gram, super 250 gram , potash 230 gram and borax 50 gram per plant in two equal split dose. once in the month of september/october and once in the month of march/april  in ring method 15-20 cm depth and 1 meter away from the plants."
asking vitamin proper growth papaya,"spray mahaphal @ 2ml/litre water,2 sprays at an interval of 7 days"
asking disease cattle abscess cow calf," treatment: clean the area with luke worm water mixed with salt, then dry, apply coconut oil and haldi or ointment- himax or charmil. for deworming: cow: neozoid plus 1 gm orally in empty stomach, liv 52 1lit. @ 100 ml orally daily."
asking farmer registration,"--you can do the the registration by yopurself only. if you thik that you can not, then please visit to your nearest common service centre(csc) or any internet cafe near to you. 

if you want to do the registration by yourself then please search- mkisan:farmer registration form in google  after that you have to enter your phone number to get the registration from. fill up the form completely than press the submit button."
asking registration mukhya mantri sasajuli yojona,"please visit the assam agriculture.in website in google then click farmers application then farmers registration then go to new farmers registration after that a form will come, fill um the form and submit it. if you are unable to do the registration by yourself then please visit to your nearest common service center or any internet cafe."
asking seedling preparation nahor tree,visit divisional forest office for better assistance since tree comes under forest department.
asking veterinary expert,wait for sometimes
asking agriculture expert,try again 
asking planting process coconut,"as your plant is only six month old, so plant it in the main field after six months. use compost during planting. chemical fertilizer should be applied after 1 year of planting."
asking free seed, told him to visit district agriculture office 
query termite shoot borer problem sugarcane,spraying of fipronil 5% sc @ 1ml/l of water  or imidachloprid 17.8% sl @ 0.5-1ml/l of water 2 times at an interval of 10-12 days can control shoot borer and termites in sugarcane.
asking opening seed hub,"for procurement of agriculture license, visit district agriculture office."
asking present beneficiery status pm kisan samman nidhi,--your 6th number installment has not approved by the state till now. for getting approval you have to link your adhar card with your bank account and also have to update your adhar number in your registration also in your nearest common service centre or any internet cafe near to you.
asking tea expert, forward the number to tea expert.
query regarding poultry disease, tr.: 1. tetracyclin 2. liver tonic.
asking fertilizer requirement potato,"please use the recommended doses of chemical fertilizer- urea-19kg, ssp- 45 kg and potash- 12 kg and compost 2tonne per bigha of land. compost should be apply during the time of final land preparation and remaining chemical fertilizer  should be apply in furrow zone and cover with soil and then pototo tuber should be sow."
query regarding nutrient management coconut,"fertilizer dose: (per palm per year for bearing plants) 
fertilizer: urea 1.50 kg, ssp 2.50 kg mop 1.75 kg borax 50 g per plant
the fertilizer should be applied in two equal split doses, i.e. in april and october. the fertilizer should be applied to a trench of 30 cm width and 10 cm depth at a radius of 1 to 1.75m away from the trunk depending upon the age of plant and covered with green leaves and then by soil. 
"
asking remedy fungal rot cabbage,"spray saaf @ 2gm/litre water, 2 sprays at an interval of 5 days"
